% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 02/01/2015 through 30/12/2015, for BBDC4.SA.
%
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 255 cases, 35 continuous attributes

@relation stock

@attribute Bra_HighPrice numeric
@attribute Bra_ADMI_14 numeric
@attribute Bra_BIAS_14 numeric
@attribute Bra_ClosePrice numeric
@attribute Bra_LowPrice numeric
@attribute Bra_SMA_05 numeric
@attribute Bra_MACD numeric
@attribute Bra_Momentum_14 numeric
@attribute Bra_OBV numeric
@attribute Bra_OpenPrice numeric
@attribute Bra_PROC_14 numeric
@attribute Bra_PVT numeric
@attribute Bra_RSI_14 numeric
@attribute Bra_SODI numeric
@attribute Bra_SOKI_14 numeric
@attribute Bra_Volume numeric
@attribute Bra_WILLR_14 numeric
@attribute Est_ADMI_14 numeric
@attribute Est_BIAS_14 numeric
@attribute Est_ClosePrice numeric
@attribute Est_HighPrice numeric
@attribute Est_LowPrice numeric
@attribute Est_SMA_05 numeric
@attribute Est_MACD numeric
@attribute Est_Momentum_14 numeric
@attribute Est_OBV numeric
@attribute Est_OpenPrice numeric
@attribute Est_PROC_14 numeric
@attribute Est_PVT numeric
@attribute Est_RSI_14 numeric
@attribute Est_SODI numeric
@attribute Est_SOKI_14 numeric
@attribute Est_Volume numeric
@attribute Est_WILLR_14 numeric
@attribute Target numeric

@data
39.04,1,0,37.73,37.54,37.73,0,0,0,38.23,0,0,0,12.5,12.5,9362200,-87.5,1,0,12.82,13.12,12.71,12.82,0,0,0,13.1,0,0,0,26.83,26.83,12985900,-73.17,38.25
38.25,1.17,0.07,37.78,36.64,37.76,0,0,9277900,37.08,0.15,13524.64,0,30.1,47.71,9277900,-52.29,1.04,-0.67,12.65,12.78,12.29,12.73,0,0,-8792900,12.35,-1.33,-116598.52,0,35.1,43.37,8792900,-56.63,39.03
39.03,1.1,2.22,39.03,37.55,38.18,0,0,21233000,37.85,3.44,406807.4,0,53.25,99.54,11955100,-0.46,1.02,2.76,13.27,13.34,12.65,12.91,0,0,5534100,12.75,3.51,585594.37,78.48,54.51,93.33,14327000,-6.67,41.03
41.03,1.56,4.64,40.58,39.18,38.78,0,0,33973400,39.53,7.55,913119.8,0,78.99,89.72,12740400,-10.28,1.15,4.05,13.62,13.86,13.53,13.09,0,0,12308900,13.66,6.24,764281.63,85.09,73.81,84.71,6774800,-15.29,41.15
41.15,2.02,4.1,40.79,39.93,39.18,0,0,40968900,40.7,8.1,949149.76,0,93.74,91.95,6995500,-8.05,1.3,4.05,13.76,13.95,13.56,13.22,0,0,18471500,13.64,7.33,827627.01,86.72,88.87,88.55,6162600,-11.45,40.62
40.62,2.08,-0.35,39.02,38.81,39.44,0,0,33323300,40.39,3.41,617180.61,63.33,78.12,52.68,7645600,-47.32,1.36,1.67,13.49,13.78,13.34,13.36,0,0,13175500,13.67,5.23,723708.4,71.61,81.85,72.29,5296000,-27.71,39.19
39.19,1.97,-1.82,38.32,38.06,39.55,0,0,25743800,38.72,1.57,482557.41,55.38,60.65,37.32,7579500,-62.68,1.28,-1.02,13.11,13.17,12.97,13.45,0,0,7633300,13.03,2.26,567590.09,57.51,70.08,49.4,5542200,-50.6,39.52
39.52,1.9,-1.33,38.45,38.45,39.43,0,0,35502500,38.61,1.9,513368.46,56.34,43.33,40,9758700,-60,1.34,0.09,13.26,13.53,13.16,13.45,0,0,15287800,13.52,3.43,655170.18,60.58,60.04,58.43,7654500,-41.57,39.44
39.44,1.92,-0.25,38.85,37.78,39.09,0,0,44274800,37.95,2.97,606236.87,59.27,42.11,49.02,8772300,-50.98,1.48,2.96,13.69,13.73,13.33,13.46,0,0,23130600,13.45,6.79,909499.29,67.33,64.06,84.34,7842800,-15.66,39.94
39.94,1.82,-1.14,38.46,38.46,38.62,0,0,32299800,38.93,1.92,484181.38,55.63,43.09,40.24,11975000,-59.76,1.53,-0.79,13.18,13.87,13.15,13.35,0,0,13504100,13.81,2.81,550878.77,55.96,65.46,53.61,9626500,-46.39,38.95
38.95,1.77,-0.16,38.83,38.17,38.58,0,0,47399400,38.66,2.92,631031.03,58.06,45.93,48.54,15099600,-51.46,1.57,2.29,13.62,13.62,13.16,13.37,0,0,31001200,13.33,6.24,1135000.47,61.56,72.69,80.12,17497100,-19.88,39.22
39.22,1.9,-2.07,38.02,37.73,38.52,-0.06,0,39869000,38.61,0.76,473169.96,51.87,39.76,30.49,7530400,-69.51,1.57,2.29,13.62,13.62,13.16,13.37,0,0,31001200,13.33,6.24,1135000.47,61.56,72.69,80.12,17497100,-19.88,38.77
38.77,2.03,-2.21,37.9,37.77,38.41,-0.12,0,33542000,38.72,0.44,453031.94,51.06,35.61,27.8,6327000,-72.2,1.57,-0.18,13.29,13.32,13.09,13.41,-0,0,25583800,13.2,3.67,1003741.88,56.2,64.66,60.24,5417400,-39.76,39.09
39.09,1.99,0.17,38.82,37.73,38.4,-0.1,0,43584300,38.47,2.89,697894.98,56.27,35.53,48.29,10042300,-51.71,1.81,2.67,13.7,13.76,13.23,13.5,0.03,0,33324000,13.3,6.86,1242529.09,60.48,75.1,84.94,7740200,-15.06,39.98
39.98,2.16,0.99,39.25,38.96,38.56,-0.04,1.52,53426100,39.27,4.02,806659.56,58.33,44.63,57.8,9841800,-42.2,2.25,4.35,13.97,14.21,13.73,13.55,0.08,0,42231300,13.92,8.97,1418074.41,62.86,77.56,87.5,8907300,-12.5,39.98
39.98,2.04,-0.09,38.91,38.26,38.58,-0.02,1.12,46160300,39.27,2.97,743531.82,55.97,47.9,37.61,7265800,-62.39,2.48,1.58,13.66,13.71,13.42,13.65,0.09,0.84,36166000,13.69,6.55,1283482.93,58.79,81.26,71.35,6065300,-28.65,39.57
39.57,1.94,1.42,39.53,38.34,38.88,0.05,0.51,54311900,38.34,1.3,874897.72,52.88,49.38,52.73,8151600,-47.27,2.79,2.41,13.86,13.9,13.46,13.7,0.12,1.21,43771100,13.53,9.57,1394831.39,62.58,78.81,77.56,7605100,-22.44,39.89
39.89,1.94,1.78,39.6,38.5,39.22,0.12,-0.98,65369100,38.96,-2.41,893357.15,43.29,48.34,54.66,11057200,-45.34,3.19,2.91,13.98,14.07,13.57,13.83,0.15,0.71,50143600,13.59,5.35,1450004.55,58.24,76.79,81.45,6372500,-18.55,40.09
40.09,2.05,0.02,38.77,38.66,39.21,0.09,-2.01,53818900,39.1,-4.94,652727.98,37.27,47.84,36.12,11550200,-63.88,3.46,-0.36,13.53,13.79,13.44,13.8,0.13,-0.09,42293900,13.76,-0.66,1197331.81,48.98,68.06,45.16,7849700,-54.84,39.52
39.52,2.25,-1.2,38.25,37.64,39.01,0.01,-0.77,42415800,39.16,-1.97,497451.73,44.22,38.48,24.66,11403100,-75.34,3.42,-1.54,13.34,13.52,13.06,13.67,0.1,-0.42,34245800,13.52,-3.05,1084313.4,45.29,52.15,29.84,8048100,-70.16,37.83
37.83,2.88,-3.94,37.1,36.83,38.65,-0.18,-1.22,29603200,37.73,-3.19,114216.07,41.42,23.07,8.42,12812600,-91.58,3.44,-7.39,12.48,12.73,12.41,13.44,-0.02,-1.01,23758800,12.6,-7.49,408239.94,40,26.3,3.89,10487000,-96.11,37.71
37.71,3.67,-2.77,37.49,36.45,38.24,-0.29,-0.96,40543300,37.56,-2.49,227736.23,43.52,20.49,28.4,10940100,-71.6,3.56,-5.69,12.68,12.69,12.27,13.2,-0.09,-0.43,32233300,12.27,-3.28,544049.24,45.59,18.29,21.13,8474500,-78.87,38.93
38.93,3.59,0.77,38.85,37.97,38.09,-0.23,0,51290900,38.5,0,618787.4,50,34.23,65.86,10747600,-34.14,3.33,-2.21,13.14,13.17,12.93,13.03,-0.1,-0.12,39603300,12.95,-0.9,811415.17,48.84,23.29,44.85,7370000,-55.15,40.18
40.18,3.88,3.05,39.83,38.43,38.3,-0.07,1.38,63974900,38.85,3.58,938401.22,57.71,61.61,90.56,12684000,-9.44,3.27,-1.16,13.25,13.36,12.77,12.98,-0.1,-0.44,48294800,12.79,-3.21,884175.06,45.47,38.83,50.52,8691500,-49.48,39.82
39.82,4.14,1.33,39.19,39.16,38.49,-0.01,0.36,55017100,39.36,0.93,794918.09,51.98,76.62,73.45,8957800,-26.55,3.21,-2.38,13.08,13.19,12.93,12.93,-0.12,-0.1,39583000,12.97,-0.76,772401.02,48.89,45.7,41.75,8711800,-58.25,39.39
39.39,3.88,1.5,39.36,38.39,38.94,0.04,1.34,63523100,39.1,3.53,830727.8,57.86,80.63,77.88,8506000,-22.12,3.04,-3.77,12.84,12.89,12.68,13,-0.16,-0.78,31921900,12.75,-5.73,631830.38,40.97,40.55,29.38,7661100,-70.62,39.77
39.77,3.87,2.2,39.77,39.01,39.4,0.11,1.87,73165400,39.1,4.93,930438.56,60.6,80.04,88.79,9642300,-11.21,3.01,-1.79,13.09,13.14,12.72,13.08,-0.15,-0.2,38970800,12.72,-1.5,769075.32,47.64,37.8,42.27,7048900,-57.73,39.93
39.93,3.7,-0.36,38.76,38.76,39.38,0.08,-0.05,65828900,39.49,-0.14,745757.65,49.69,76.2,61.95,7336500,-38.05,2.93,-5.54,12.51,12.74,12.4,12.95,-0.19,-1.19,33943200,12.71,-8.69,546309.24,36.51,28.01,12.37,5027600,-87.63,39.14
39.14,4.2,-2.77,37.72,37.42,38.96,-0.02,-1.53,54706000,38.68,-3.9,445906.49,41.97,61.55,33.92,11122900,-66.08,3.41,-8.13,12.04,12.13,11.82,12.71,-0.26,-1.93,27067100,12.08,-13.82,287974.54,29.07,21.47,9.78,6876100,-90.22,39.22
39.22,4.6,1.02,39.22,38.1,38.96,0.02,0.31,62884600,38.39,0.79,770283.74,51.44,56.64,74.04,8178600,-25.96,3.3,-3.3,12.6,12.65,12.26,12.62,-0.27,-1.06,32924100,12.27,-7.76,560393.15,39.09,18.94,34.67,5857000,-65.33,40.33
